
set N:= 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32;
set L:= 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32;

set busSet:= Pd  Qd  	SMAXGD fpgdm   fpgdM;

set linesSet := m  n    R     X	   Imax;

param bus_Pd :=
0	0
1	100
2	90
3	120
4	60
5	60
6	200
7	200
8	60
9	60
10	45
11	60
12	60
13	120
14	60
15	60
16	60
17	90
18	90
19	90
20	90
21	90
22	90
23	420
24	420
25	60
26	60
27	60
28	120
29	200
30	150
31	210
32	60
;

param bus_Qd :=
0	0
1	60
2	40
3	80
4	30
5	20
6	100
7	100
8	20
9	20
10	30
11	35
12	35
13	80
14	10
15	20
16	20
17	40
18	40
19	40
20	40
21	40
22	50
23	200
24	200
25	25
26	25
27	20
28	70
29	600
30	70
31	100
32	40
;

param R :=
1	0.0922
2	0.493
3	0.366
4	0.3811
5	0.819
6	0.1872
7	1.7114
8	1.03
9	1.04
10	0.1966
11	0.3744
12	1.468
13	0.5416
14	0.591
15	0.7463
16	1.289
17	0.732
18	0.164
19	1.5042
20	0.4095
21	0.7089
22	0.4512
23	0.898
24	0.896
25	0.203
26	0.2842
27	1.059
28	0.8042
29	0.5075
30	0.9744
31	0.3105
32	0.341
;

param X :=
1	0.0477
2	0.2511
3	0.1864
4	0.1941
5	0.707
6	0.6188
7	1.2351
8	0.74
9	0.74
10	0.065
11	0.1238
12	1.155
13	0.7129
14	0.526
15	0.545
16	1.721
17	0.574
18	0.1565
19	1.3554
20	0.4784
21	0.9373
22	0.3083
23	0.7091
24	0.7011
25	0.1034
26	0.1447
27	0.9337
28	0.7006
29	0.2585
30	0.963
31	0.3619
32	0.5302
;

param busParam:      Pd  Qd  	SMAXGD fpgdm   fpgdM:=
		# Nó kW kVAr
		0	0	0         0	      0       0
		1	100	60        0	      0       0
		2	90	40        0    0.80    0.95
		3	120	80        0	      0       0
		4	60	30        0	      0       0
		5	60	20        0	      0       0
		6	200	100       0	      0       0
		7	200	100       0	      0       0
		8	60	20        0	      0       0
		9	60	20        0	      0       0
		10	45	30        0	      0       0
		11	60	35        0	      0       0
		12	60	35        0	      0       0
		13	120	80        0	      0       0
		14	60	10        0	      0       0
		15	60	20        0	      0       0
		16	60	20        0	      0       0
		17	90	40        0	      0       0
		18	90	40        0    0.80    0.95
		19	90	40        0	      0       0
		20	90	40        0	      0       0
		21	90	40        0	      0       0
		22	90	50        0	      0       0
		23	420	200       0	      0       0
		24	420	200       0	      0       0
		25	60	25        0	      0       0
		26	60	25        0	      0       0
		27	60	20        0	      0       0
		28	120	70        0	      0       0
		29	200	600       0	      0       0
		30	150	70        0	      0       0
		31	210	100       0	      0       0
		32	60	40        0    0.80    0.95

;



param lineParam:  n m  R     X	   Imax:=
# l  m n	ohm     ohm      A
1	0	1	0.0922	0.047	300
2	1	2	0.493	0.2511	300
3	2	3	0.366	0.1864	300
4	3	4	0.3811	0.1941	300
5	4	5	0.819	0.707	300
6	5	6	0.1872	0.6188	300
7	6	7	0.7114	0.2351	300
8	7	8	1.03	0.74	300
9	8	9	1.044	0.74	300
10	9	10	0.1966	0.065	300
11	10	11	0.3744	0.1238	300
12	11	12	1.468	1.155	300
13	12	13	0.5416	0.7129	300
14	13	14	0.591	0.526	300
15	14	15	0.7463	0.545	300
16	15	16	1.289	1.721	300
17	16	17	0.732	0.574	300
18	1	18	0.164	0.1565	300
19	18	19	1.5042	1.3554	300
20	19	20	0.4095	0.4784	300
21	20	21	0.7089	0.9373	300
22	2	22	0.4512	0.3083	300
23	22	23	0.898	0.7091	300
24	23	24	0.896	0.7011	300
25	5	25	0.203	0.1034	300
26	25	26	0.2842	0.1447	300
27	26	27	1.059	0.9337	300
28	27	28	0.8042	0.7006	300
29	28	29	0.5075	0.2585	300
30	29	30	0.9744	0.963	300
31	30	31	0.3105	0.3619	300
32	31	32	0.341	0.5302	300
# 33	7	20	2	2	300
# 34	8	14	2	2	300
# 35	11	21	2	2	300
# 36	17	32	0.5	0.5	300
# 37	24	28	0.5	0.5	300
;



set lineCon2 := 
( 0 , 1 , 1 )
( 1 , 2 , 2 )
( 2 , 3 , 3 )
( 3 , 4 , 4 )
( 4 , 5 , 5 )
( 5 , 6 , 6 )
( 6 , 7 , 7 )
( 7 , 8 , 8 )
( 8 , 9 , 9 )
( 9 , 10 , 10 )
( 10 , 11 , 11 )
( 11 , 12 , 12 )
( 12 , 13 , 13 )
( 13 , 14 , 14 )
( 14 , 15 , 15 )
( 15 , 16 , 16 )
( 16 , 17 , 17 )
( 1 , 18 , 18 )
( 18 , 19 , 19 )
( 19 , 20 , 20 )
( 20 , 21 , 21 )
